representative,synonym,group_size
constant need to closely monitor the physical condition,constant need to closely monitor the physical condition,1
constant processing and sensing requires considerable power,constant processing and sensing requires considerable power,1
continuous supervision is not economically feasible,"constant, uninterrupted monitoring is impractical",4
continuous supervision is not economically feasible,continuous supervision is not economically feasible,4
continuous supervision is not economically feasible,continuous supervision is not feasible,4
continuous supervision is not economically feasible,manual monitoring by human supervision is costly,4
content unapproved by parents,content unapproved by parents,1
"need for a lightweight, easily collapsible, portable, and storable assistive mobility device","continuing need for a lightweight, stable, portable lift",2
"need for a lightweight, easily collapsible, portable, and storable assistive mobility device","need for a lightweight, easily collapsible, portable, and storable assistive mobility device",2
questions regarding continuity and consistency of the monitoring,continuity and consistency of the monitoring,2
questions regarding continuity and consistency of the monitoring,questions regarding continuity and consistency of the monitoring,2
"continuous general, as well as medical, supervision and care",continuous general supervision and care,2
"continuous general, as well as medical, supervision and care","continuous general, as well as medical, supervision and care",2
continuous supervision by caregivers is not economically feasible,continuous supervision by caregivers is not economically feasible,1
controlled sequence of movement,controlled sequence of movement,1
conventional accelerometric detection of falls has been widely used for ambulatory tracking and fall detection,conventional accelerometric detection of falls has been widely used for ambulatory tracking and fall detection,1
conventional monitoring devices do not include such function,conventional monitoring devices do not include such function,1
"conventional monitoring systems do not detect falls in real time, or predict a risk of a fall","conventional monitoring systems do not detect falls in real time, or predict a risk of a fall",1
conventional monitoring systems require a user to push a panic alert button,conventional monitoring systems require a user to push a panic alert button,2
conventional monitoring systems require a user to push a panic alert button,rely on a wearer to push a panic button,2
"conventional pers may also collect information on vital signs, such as heart rate and heart rate variability","conventional pers may also collect information on vital signs, such as heart rate and heart rate variability",1
conventional protocols of ovulation stimulation do not accommodate selective treatment regimens,conventional protocols of ovulation stimulation do not accommodate selective treatment regimens,2
